City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Coruripe,BR,-10.1256,-36.1756,83.73,65,3,15.12,clear sky
245,Chapais,CA,49.7834,-74.8492,6.58,93,100,10.71,light snow
246,Vanersborg,SE,58.3807,12.3234,37.65,93,23,3.44,few clouds
247,College,US,64.8569,-147.8028,-1.71,78,100,3.44,light snow
248,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,0,4.61,clear sky
249,Havoysund,NO,70.9963,24.6622,27.48,72,3,26.04,clear sky
250,Linjiang,CN,41.8069,126.9078,-1.39,99,65,0.94,broken clouds
251,Cheney,US,47.4874,-117.5758,42.78,90,75,4.61,mist
252,Villa Rica,US,33.7321,-84.9191,50.68,52,0,5.66,clear sky
253,Mayumba,GA,-3.432,10.6554,78.04,87,65,4.03,broken clouds
254,Vila Velha,BR,-20.3297,-40.2925,82.35,81,40,5.99,scattered clouds
255,Arlit,NE,18.7369,7.3853,68.68,9,0,5.28,clear sky
256,Codrington,AU,-38.2667,141.9667,57.51,77,0,9.08,clear sky
257,Mombetsu,JP,44.3525,143.3525,25.86,84,100,11.12,overcast clouds
258,Neiafu,TO,-18.65,-173.9833,79.48,94,100,4.61,light rain
259,Hofn,IS,64.2539,-15.2082,27.0,67,0,16.11,clear sky
260,Griffith,US,41.5284,-87.4237,35.04,69,0,4.0,clear sky
261,Port Hardy,CA,50.6996,-127.4199,46.76,83,100,14.23,overcast clouds
262,Marawi,PH,7.9986,124.2928,64.65,91,25,1.86,scattered clouds
263,Rayong,TH,12.8333,101.4333,80.02,99,98,0.69,overcast clouds
264,Vostok,RU,46.4856,135.8833,-11.09,99,97,3.98,overcast clouds
265,Freeport,US,40.6576,-73.5832,32.49,63,0,4.0,clear sky
266,Plettenberg Bay,ZA,-34.0527,23.3716,74.48,64,94,5.57,overcast clouds
267,Tres Lagoas,BR,-20.7511,-51.6783,82.65,75,93,7.56,overcast clouds
268,Birao,CF,10.2849,22.7882,69.57,15,31,6.33,scattered clouds
269,Saskylakh,RU,71.9167,114.0833,-24.65,100,95,1.61,overcast clouds
270,Basco,PH,20.4487,121.9702,72.97,70,100,26.78,overcast clouds
271,Zheleznodorozhnyy,RU,55.7503,38.0042,23.22,99,99,3.76,light snow
272,Vestmannaeyjar,IS,63.4427,-20.2734,33.73,57,100,9.33,overcast clouds
273,Humaita,BR,-7.5061,-63.0208,87.08,70,96,2.01,moderate rain
274,Sovetskiy,RU,61.3614,63.5842,9.79,95,100,7.54,overcast clouds
275,Padang,ID,-0.9492,100.3543,77.04,75,100,3.47,overcast clouds
276,Sayyan,YE,15.1718,44.3244,54.28,45,53,4.79,broken clouds
277,Coihaique,CL,-45.5752,-72.0662,82.35,34,20,6.91,few clouds
278,Batagay,RU,67.6333,134.6333,-30.48,95,100,1.68,overcast clouds
279,Ilinskiy,RU,55.619,38.1182,23.38,98,99,4.56,light snow
280,Beringovskiy,RU,63.05,179.3167,-18.35,98,46,7.49,scattered clouds
281,Rawson,AR,-43.3002,-65.1023,75.85,34,7,15.95,clear sky
282,Moussoro,TD,13.6408,16.4901,71.11,9,0,11.9,clear sky
283,Calimanesti,RO,45.2333,24.3333,31.28,74,59,2.98,broken clouds
284,Hasaki,JP,35.7333,140.8333,28.8,43,0,24.02,clear sky
285,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,86,63,12.8,broken clouds
286,Matadi,CD,-5.8167,13.45,80.98,74,26,7.29,scattered clouds
287,Acari,PE,-15.4311,-74.6158,82.42,52,100,10.67,overcast clouds
288,Kormend,HU,47.011,16.606,47.68,78,100,10.16,light rain
289,Olavarria,AR,-36.8927,-60.3225,68.02,81,92,15.66,overcast clouds
290,Lorengau,PG,-2.0226,147.2712,81.01,79,100,7.58,overcast clouds
291,Eltham,NZ,-39.4292,174.3,59.68,86,99,7.63,moderate rain
292,Miranda,CO,3.2499,-76.2281,71.65,73,83,2.13,broken clouds
293,Kaspiyskiy,RU,45.3929,47.3707,32.31,90,97,8.9,overcast clouds
294,Tupik,RU,54.4253,119.9327,-3.42,97,100,1.3,overcast clouds
295,Turkan,AZ,40.3639,50.215,42.98,65,0,9.22,clear sky
296,Loandjili,CG,-4.7561,11.8578,78.31,85,100,5.21,overcast clouds
297,Middle Valley,US,35.1959,-85.1847,49.98,43,0,5.01,clear sky
298,Khatanga,RU,71.9667,102.5,-18.33,98,99,8.61,overcast clouds
299,Geraldton,AU,-28.7667,114.6,70.21,49,100,10.36,overcast clouds
300,Tura,IN,25.5198,90.2201,51.69,81,0,2.89,clear sky
301,Semey,KZ,50.4111,80.2275,-0.26,77,0,7.49,clear sky
302,Kasiri,SL,8.9412,-13.1148,80.15,68,5,9.69,clear sky
303,Zimovniki,RU,47.1483,42.4633,31.66,96,100,14.52,light snow
304,East London,ZA,-33.0153,27.9116,74.82,82,1,22.03,clear sky
305,Arraial Do Cabo,BR,-22.9661,-42.0278,84.06,65,0,14.97,clear sky
